"DateTime";"Fatigue court terme Coggan";"Condition physique Coggan";"Forme Coggan";"Charge Coggan"
"2022-12-26 00:00:00";40,10507602405571;41;-4;
"2022-12-27 00:00:00";34,386249361252816;41;1;
"2022-12-28 00:00:00";29,482904967566384;40;6;
"2022-12-29 00:00:00";25,27875826742626;39;10;
"2022-12-30 00:00:00";21,67410641000068;38;13;
"2022-12-31 00:00:00";18,58346378023502;37;16;
"2023-01-01 00:00:00";15,933534676749616;36;18;
"2023-01-02 00:00:00";39,51841347958465;39;20;181,3299373266334
"2023-01-03 00:00:00";33,88324259639869;38;0;
"2023-01-04 00:00:00";35,7667121028858;39;5;47,09166666666667
"2023-01-05 00:00:00";30,66651913249747;38;3;
"2023-01-06 00:00:00";37,963014445382576;39;7;81,8354942538735
"2023-01-07 00:00:00";64,94569150967237;43;1;227,18754926727027
"2023-01-08 00:00:00";55,68469043297809;42;-22;
"2023-01-09 00:00:00";65,45278585472597;44;-13;124,18654100444233
"2023-01-10 00:00:00";56,11947511181114;43;-21;
"2023-01-11 00:00:00";48,11705790209371;42;-13;
"2023-01-12 00:00:00";41,255754023725025;41;-6;
"2023-01-13 00:00:00";55,43152888296365;43;0;140,66784708951147
"2023-01-14 00:00:00";47,52721010930823;42;-12;
"2023-01-15 00:00:00";74,84611328966544;47;-5;239,10963663542663
"2023-01-16 00:00:00";72,40367774174871;47;-28;57,71776352341327
"2023-01-17 00:00:00";62,07919705740495;46;-25;
"2023-01-18 00:00:00";53,22694685535233;45;-16;
"2023-01-19 00:00:00";51,79793573144166;45;-8;43,205555555555556
"2023-01-20 00:00:00";60,18117870139886;47;-7;110,58807162156872
"2023-01-21 00:00:00";51,59957847827426;46;-14;
"2023-01-22 00:00:00";73,17743853058906;49;-6;202,92112900947717
"2023-01-23 00:00:00";75,55159002544491;50;-24;89,82692483398272
"2023-01-24 00:00:00";64,77822938661936;49;-25;
"2023-01-25 00:00:00";63,059090014402685;49;-16;52,72222222222222
"2023-01-26 00:00:00";54,067110917039905;48;-14;
"2023-01-27 00:00:00";58,95499168335137;49;-6;88,34491671319667
"2023-01-28 00:00:00";50,54824092337668;48;-10;
"2023-01-29 00:00:00";97,32014269304842;56;-3;378,55095666629325
"2023-01-30 00:00:00";90,9373758064398;56;-42;52,55897640412249
"2023-01-31 00:00:00";77,97006241460738;54;-35;
"2023-02-01 00:00:00";73,21637549960757;54;-24;44,63333333333333
"2023-02-02 00:00:00";62,776007300086036;53;-19;
"2023-02-03 00:00:00";69,96667342575485;54;-10;113,20282186141579
"2023-02-04 00:00:00";80,82075990312441;56;-16;146,0843788596228
"2023-02-05 00:00:00";69,29603629046392;55;-24;
"2023-02-06 00:00:00";87,50834423204662;58;-14;197,01559095392057
"2023-02-07 00:00:00";75,02999730379777;57;-29;
"2023-02-08 00:00:00";75,02699925338655;57;-18;75,00897252952932
"2023-02-09 00:00:00";64,32844320270112;56;-18;
"2023-02-10 00:00:00";73,2862195415826;58;-8;127,14767558371074
"2023-02-11 00:00:00";66,18095825176675;57;-16;23,458333333333332
"2023-02-12 00:00:00";86,22118314118099;61;-9;206,71935714340523
"2023-02-13 00:00:00";82,76877138049142;61;-26;62,01005657751312
"2023-02-14 00:00:00";70,9662689657279;59;-22;
"2023-02-15 00:00:00";68,23561072824558;59;-12;51,81666666666666
"2023-02-16 00:00:00";64,02355229297038;58;-9;38,69722222222222
"2023-02-17 00:00:00";60,648192616667004;58;-6;40,352777777777774
"2023-02-18 00:00:00";73,0495436712385;60;-3;147,61657899556624
"2023-02-19 00:00:00";62,63296503660169;59;-13;
"2023-02-20 00:00:00";84,59262472961971;62;-4;216,63200599008923
"2023-02-21 00:00:00";72,5300479752444;61;-22;
"2023-02-22 00:00:00";72,90681166775865;61;-12;75,17222222222222
"2023-02-23 00:00:00";62,51058605742845;60;-12;
"2023-02-24 00:00:00";65,4276866278798;60;-3;82,9676740312102
"2023-02-25 00:00:00";82,96620690883354;63;-5;188,42209276928784
"2023-02-26 00:00:00";71,13555096150995;62;-19;
"2023-02-27 00:00:00";60,99190018603592;60;-9;
"2023-02-28 00:00:00";54,43363546914303;59;-1;15
"2023-03-01 00:00:00";65,86237582751284;61;5;134,58128252284283
"2023-03-02 00:00:00";56,47065915972741;60;-5;
"2023-03-03 00:00:00";72,46996925766646;62;3;168,6708683361675
"2023-03-04 00:00:00";96,5976069986065;67;-10;241,67264017880566
"2023-03-05 00:00:00";82,82316682212527;65;-30;
"2023-03-06 00:00:00";93,60544095106538;67;-18;158,4372655088327
"2023-03-07 00:00:00";80,25767192618471;66;-26;
"2023-03-08 00:00:00";75,54298526738175;65;-15;47,19444444444444
"2023-03-09 00:00:00";64,77085163333258;64;-10;
"2023-03-10 00:00:00";66,88707516528687;64;-1;79,61153673137079
"2023-03-11 00:00:00";75,72313762852961;66;-3;128,85275059773156
"2023-03-12 00:00:00";64,92531497382677;64;-10;
"2023-03-13 00:00:00";60,366552575397726;63;-1;32,955555555555556
"2023-03-14 00:00:00";62,33091641378688;64;3;74,14227366691462
"2023-03-15 00:00:00";76,59759524804079;66;1;162,38050228077844
"2023-03-16 00:00:00";65,67507836393537;64;-11;
"2023-03-17 00:00:00";71,63994459794534;65;-1;107,50558449629749
"2023-03-18 00:00:00";100,10431489628934;70;-6;271,2553206360185
"2023-03-19 00:00:00";85,82983191694942;69;-30;
"2023-03-20 00:00:00";92,27210842225175;70;-17;131,00832817976627
"2023-03-21 00:00:00";79,1144673904358;68;-22;
"2023-03-22 00:00:00";74,81273645972243;68;-11;48,94722222222222
"2023-03-23 00:00:00";64,14473344368325;66;-7;
"2023-03-24 00:00:00";75,6146929352238;68;2;144,58144267165923
"2023-03-25 00:00:00";99,66868940616422;72;-7;244,30093121974338
"2023-03-26 00:00:00";85,45632491442996;71;-27;
"2023-03-27 00:00:00";83,02019778537083;71;-15;68,37221492545957
"2023-03-28 00:00:00";71,18184295065193;69;-12;
"2023-03-29 00:00:00";68,38479568757857;68;-2;51,56666666666666
"2023-03-30 00:00:00";58,63339183351591;67;0;
"2023-03-31 00:00:00";67,38711726725305;68;8;120,02165287265592
"2023-04-01 00:00:00";57,77797844586701;67;1;
"2023-04-02 00:00:00";86,55410715070113;71;9;259,5796586562189
